Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
129,Terence Davis,SG,24,SAC,30,536,.423,.442,.221,.157,.034,.030,.558,.542,.712,.357,.333,.500,.329,daviste02
130,Gabriel Deck,PF,26,OKC,7,56,.571,.714,.357,.071,.214,.071,.286,.600,.600,1.000,.667,.000,.500,deckga01
131,Dewayne Dedmon,C,32,MIA,67,1065,.566,.838,.441,.286,.069,.041,.162,.597,.695,.530,.450,.250,.404,dedmode01
132,Sam Dekker,PF,27,TOR,1,1,,,,,,,,,,,,,,dekkesa01
133,Javin DeLaurier,C,23,MIL,1,3,,,,,,,,,,,,,,delauja01
134,DeMar DeRozan,PF,32,CHI,76,2743,.504,.907,.164,.158,.297,.288,.093,.520,.671,.494,.511,.457,.352,derozde01
135,Mamadi Diakite,PF,25,OKC,13,188,.532,.894,.426,.340,.106,.021,.106,.595,.600,.688,.400,.000,.000,diakima01
136,Cheick Diallo,C,25,DET,3,31,.375,1.000,.375,.625,.000,.000,.000,.375,.667,.200,,,,diallch01
137,Hamidou Diallo,SG,23,DET,58,1269,.496,.823,.333,.300,.122,.068,.177,.550,.691,.500,.391,.361,.247,diallha01
138,Gorgui Dieng,C,32,ATL,44,371,.473,.393,.134,.071,.089,.098,.607,.545,.733,.375,.600,.364,.426,dienggo01
139,Spencer Dinwiddie,PG-SG,28,TOT,67,1980,.416,.551,.176,.237,.088,.050,.449,.479,.643,.402,.446,.324,.339,dinwisp01
139,Spencer Dinwiddie,PG,28,WAS,44,1330,.376,.541,.152,.236,.091,.061,.459,.432,.573,.388,.378,.333,.310,dinwisp01
139,Spencer Dinwiddie,SG,28,DAL,23,650,.498,.572,.222,.239,.082,.029,.428,.568,.741,.431,.600,.286,.404,dinwisp01
140,Donte DiVincenzo,SG,25,TOT,42,1006,.351,.351,.155,.137,.027,.033,.649,.373,.538,.239,.444,.091,.339,divindo01
140,Donte DiVincenzo,SG,25,MIL,17,341,.331,.373,.212,.110,.017,.034,.627,.409,.520,.308,.500,.000,.284,divindo01
140,Donte DiVincenzo,SG,25,SAC,25,665,.362,.339,.124,.151,.032,.032,.661,.351,.556,.212,.429,.143,.368,divindo01
141,Luka Doncic,PG,22,DAL,65,2301,.457,.594,.128,.239,.165,.062,.406,.528,.778,.499,.440,.356,.353,doncilu01
142,Luguentz Dort,SG,22,OKC,51,1665,.404,.461,.197,.204,.029,.032,.539,.487,.615,.419,.238,.348,.332,dortlu01
143,Ayo Dosunmu,SG,22,CHI,77,2110,.520,.652,.368,.114,.097,.073,.348,.596,.701,.377,.481,.564,.376,dosunay01
144,Damyean Dotson,SG,27,NYK,2,21,.500,.750,.250,.250,.250,.000,.250,.667,1.000,.000,1.000,,.000,dotsoda01
145,Devon Dotson,PG,22,CHI,11,85,.478,.609,.478,.000,.130,.000,.391,.643,.818,,.000,,.222,dotsode01
146,Sekou Doumbouya,PF,21,LAL,2,16,.625,.750,.500,.250,.000,.000,.250,.667,1.000,.000,,,.500,doumbse01
147,Jeff Dowtin,PG,24,TOT,9,108,.308,.654,.115,.231,.192,.115,.346,.412,.667,.333,.200,.667,.111,dowtije01
147,Jeff Dowtin,PG,24,GSW,4,28,.500,.833,.000,.333,.167,.333,.167,.600,,.500,1.000,.500,.000,dowtije01
147,Jeff Dowtin,PG,24,MIL,1,3,.000,.000,.000,.000,.000,.000,1.000,,,,,,.000,dowtije01
147,Jeff Dowtin,PG,24,ORL,4,77,.263,.632,.158,.211,.211,.053,.368,.333,.667,.250,.000,1.000,.143,dowtije01
148,PJ Dozier,SG,25,DEN,18,340,.364,.515,.141,.141,.081,.152,.485,.412,.714,.143,.500,.333,.313,doziepj01
149,Goran Dragic,PG,35,TOT,21,498,.377,.583,.192,.172,.166,.053,.417,.466,.621,.538,.280,.250,.254,dragigo01
149,Goran Dragic,PG,35,TOR,5,90,.382,.588,.206,.147,.235,.000,.412,.450,.571,.400,.375,,.286,dragigo01
149,Goran Dragic,PG,35,BRK,16,408,.376,.581,.188,.179,.145,.068,.419,.471,.636,.571,.235,.250,.245,dragigo01
150,Andre Drummond,C,28,TOT,73,1437,.570,.993,.707,.261,.021,.005,.007,.574,.641,.434,.222,.000,.000,drumman01
150,Andre Drummond,C,28,PHI,49,902,.538,.992,.706,.265,.021,.000,.008,.542,.643,.286,.400,,.000,drumman01
150,Andre Drummond,C,28,BRK,24,535,.610,.995,.708,.256,.021,.010,.005,.613,.638,.620,.000,.000,.000,drumman01
151,Chris Duarte,SG,24,IND,55,1541,.432,.589,.203,.135,.148,.103,.411,.475,.627,.369,.380,.453,.369,duartch01
152,David Duke Jr.,PG,22,BRK,22,341,.361,.657,.463,.130,.028,.037,.343,.423,.500,.214,.000,.500,.243,dukeda01
153,Kris Dunn,PG,27,POR,14,336,.431,.892,.275,.412,.108,.098,.108,.473,.607,.405,.455,.400,.091,dunnkr01
154,Kevin Durant,PF,33,BRK,55,2047,.518,.731,.109,.143,.319,.161,.269,.568,.744,.516,.528,.575,.383,duranke01
155,Jaime Echenique,C,24,WAS,1,3,,,,,,,,,,,,,,echenja01
156,Anthony Edwards,SG,20,MIN,72,2466,.441,.516,.282,.129,.055,.051,.484,.519,.658,.356,.338,.359,.357,edwaran01
